date,currency_code,name,local_price,dollar_ex
2007-01-01,TWD,Taiwan,75.0,32.9255
2007-01-01,UAH,Ukraine,9.0,5.05
2007-01-01,UYU,Uruguay,55.0,23.925
2007-01-01,USD,United States,3.22,1.0
2007-01-01,ZAR,South Africa,15.5,7.10975
2007-06-01,AED,UAE,10.0,3.67285
2007-06-01,ARS,Argentina,8.25,3.0915
2007-06-01,AUD,Australia,3.45,1.17
2007-06-01,BRL,Brazil,6.9,1.913
2007-06-01,CAD,Canada,3.88,1.05345
2007-06-01,CHF,Switzerland,6.3,1.2112
2007-06-01,CLP,Chile,1565.0,526.75
2007-06-01,CNY,China,11.0,7.6047
2007-06-01,COP,Colombia,6900.0,1956.0
2007-06-01,CRC,Costa Rica,1130.0,518.625
2007-06-01,CZK,Czech Republic,52.9,21.11675
2007-06-01,DKK,Denmark,27.75,5.4603
2007-06-01,EGP,Egypt,9.54,5.69025
2007-06-01,EUR,Euro area,3.057482443,0.7337564659999999
2007-06-01,GBP,Britain,1.99,0.4966106320000001
2007-06-01,HKD,Hong Kong,12.0,7.81555
2007-06-01,HUF,Hungary,600.0,180.2106
2007-06-01,IDR,Indonesia,15900.0,9015.0
2007-06-01,JPY,Japan,280.0,122.315
2007-06-01,KRW,South Korea,2900.0,922.5
2007-06-01,LKR,Sri Lanka,210.0,111.4
2007-06-01,MXN,Mexico,29.0,10.76755
2007-06-01,MYR,Malaysia,5.5,3.4345
2007-06-01,NOK,Norway,40.0,5.8139
2007-06-01,NZD,New Zealand,4.6,1.2797
2007-06-01,PKR,Pakistan,140.0,60.37
2007-06-01,PEN,Peru,9.5,3.167
2007-06-01,PHP,Philippines,85.0,45.8975
2007-06-01,PLN,Poland,6.9,2.75185
2007-06-01,RUB,Russia,52.0,25.64825
2007-06-01,SAR,Saudi Arabia,9.0,3.75045
2007-06-01,SGD,Singapore,3.95,1.52375
2007-06-01,SEK,Sweden,33.0,6.79165
2007-06-01,THB,Thailand,62.0,34.455
2007-06-01,TRY,Turkey,4.75,1.2981
2007-06-01,TWD,Taiwan,75.0,32.7705
2007-06-01,UAH,Ukraine,9.25,5.0275
2007-06-01,UYU,Uruguay,62.0,23.945
2007-06-01,USD,United States,3.41,1.0
2007-06-01,ZAR,South Africa,15.5,6.971
2008-06-01,AED,UAE,10.0,3.67285
2008-06-01,ARS,Argentina,11.0,3.0195
2008-06-01,AUD,Australia,3.45,1.026
2008-06-01,BRL,Brazil,7.5,1.5846
2008-06-01,CAD,Canada,4.09,1.00355
2008-06-01,CHF,Switzerland,6.5,1.02215
2008-06-01,CLP,Chile,1550.0,494.65
2008-06-01,CNY,China,12.5,6.834
2008-06-01,COP,Colombia,7000.0,1798.65
2008-06-01,CRC,Costa Rica,1800.0,551.02
2008-06-01,CZK,Czech Republic,66.08,14.49795
2008-06-01,DKK,Denmark,28.0,4.7044
2008-06-01,EGP,Egypt,13.0,5.3125
